model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839360.935,0.59,0.2297,0.72,0.2061
model-1720839340,1720839361.017,0.64,0.2318,0.69,0.2057
model-1720839340,1720839361.093,0.59,0.2282,0.66,0.2159
model-1720839340,1720839361.162,0.64,0.2313,0.66,0.2405
model-1720839340,1720839361.226,0.55,0.2455,0.5,0.2695
model-1720839340,1720839361.307,0.57,0.2552,0.59,0.2226
model-1720839340,1720839361.399,0.68,0.1988,0.62,0.2267
model-1720839340,1720839361.465,0.65,0.2226,0.56,0.2357
model-1720839340,1720839361.53,0.62,0.2241,0.81,0.1787
model-1720839340,1720839361.59,0.7,0.2096,0.53,0.2412
model-1720839340,1720839361.652,0.68,0.2193,0.53,0.2563
model-1720839340,1720839361.719,0.56,0.2349,0.69,0.2068
model-1720839340,1720839361.792,0.68,0.2092,0.66,0.2293
model-1720839340,1720839361.867,0.58,0.2433,0.59,0.2548
model-1720839340,1720839361.966,0.67,0.2109,0.81,0.1917
model-1720839340,1720839362.041,0.61,0.2228,0.66,0.199
model-1720839340,1720839362.125,0.77,0.1881,0.56,0.2483
model-1720839340,1720839362.208,0.57,0.2388,0.59,0.248
model-1720839340,1720839362.283,0.65,0.2265,0.62,0.2482
model-1720839340,1720839362.346,0.57,0.2372,0.69,0.2032
model-1720839340,1720839362.409,0.63,0.2329,0.56,0.1962
model-1720839340,1720839362.477,0.68,0.2194,0.66,0.2148
model-1720839340,1720839362.556,0.63,0.2236,0.81,0.1756
model-1720839340,1720839362.622,0.61,0.2287,0.66,0.2242
model-1720839340,1720839362.693,0.66,0.2153,0.56,0.2695
model-1720839340,1720839362.756,0.66,0.2273,0.75,0.1903
model-1720839340,1720839362.842,0.62,0.2238,0.38,0.3075
model-1720839340,1720839362.909,0.64,0.2286,0.66,0.2152
model-1720839340,1720839362.985,0.69,0.2125,0.69,0.2072
model-1720839340,1720839363.056,0.61,0.2338,0.62,0.2287
model-1720839340,1720839363.132,0.61,0.2361,0.72,0.214
model-1720839340,1720839363.253,0.63,0.2214,0.53,0.2841
model-1720839340,1720839363.347,0.65,0.2241,0.59,0.2146
model-1720839340,1720839363.444,0.63,0.2276,0.69,0.199
model-1720839340,1720839363.508,0.58,0.2463,0.81,0.1839
model-1720839340,1720839363.591,0.63,0.2285,0.66,0.2271
model-1720839340,1720839363.655,0.54,0.2711,0.66,0.2111
model-1720839340,1720839363.719,0.62,0.2331,0.75,0.2073
model-1720839340,1720839363.777,0.61,0.224,0.62,0.217
model-1720839340,1720839363.845,0.64,0.2203,0.59,0.2333
model-1720839340,1720839363.912,0.56,0.2324,0.56,0.2196
model-1720839340,1720839363.991,0.57,0.2513,0.62,0.2277
model-1720839340,1720839364.056,0.63,0.2334,0.53,0.2351
model-1720839340,1720839364.123,0.67,0.2113,0.56,0.2392
model-1720839340,1720839364.185,0.58,0.2318,0.72,0.2152
model-1720839340,1720839364.248,0.67,0.2201,0.75,0.199
model-1720839340,1720839364.306,0.63,0.2238,0.66,0.2173
model-1720839340,1720839364.367,0.48,0.2477,0.75,0.208
model-1720839340,1720839364.436,0.63,0.2221,0.75,0.1994
model-1720839340,1720839364.516,0.65,0.2296,0.53,0.2418
model-1720839340,1720839364.584,0.65,0.2236,0.56,0.2351
model-1720839340,1720839364.66,0.66,0.2087,0.81,0.2028
model-1720839340,1720839364.731,0.66,0.2162,0.69,0.199
model-1720839340,1720839364.805,0.56,0.2383,0.62,0.2217
model-1720839340,1720839364.886,0.65,0.2204,0.69,0.2074
model-1720839340,1720839364.965,0.59,0.2476,0.78,0.1884
model-1720839340,1720839365.036,0.7,0.2089,0.78,0.2033
model-1720839340,1720839365.135,0.66,0.2213,0.62,0.2143
model-1720839340,1720839365.203,0.71,0.2126,0.69,0.2274
model-1720839340,1720839365.268,0.75,0.1903,0.75,0.2127
model-1720839340,1720839365.33,0.67,0.2149,0.56,0.2409
model-1720839340,1720839365.39,0.61,0.2222,0.69,0.207
model-1720839340,1720839365.458,0.64,0.2217,0.47,0.2707
model-1720839340,1720839365.53,0.68,0.2091,0.69,0.2331
model-1720839340,1720839365.601,0.74,0.1797,0.75,0.193
model-1720839340,1720839365.674,0.67,0.2217,0.53,0.2522
model-1720839340,1720839365.741,0.68,0.2046,0.72,0.1673
model-1720839340,1720839365.813,0.7,0.2117,0.5,0.233
model-1720839340,1720839365.892,0.67,0.2246,0.56,0.2396
model-1720839340,1720839365.982,0.61,0.2314,0.66,0.2181
model-1720839340,1720839366.048,0.71,0.1972,0.62,0.2267
model-1720839340,1720839366.115,0.64,0.2261,0.56,0.2313
model-1720839340,1720839366.179,0.66,0.2109,0.53,0.2823
model-1720839340,1720839366.237,0.6,0.2287,0.44,0.2678
model-1720839340,1720839366.298,0.7,0.196,0.75,0.1893
model-1720839340,1720839366.362,0.7,0.2187,0.56,0.2389
model-1720839340,1720839366.434,0.64,0.2288,0.66,0.2088
model-1720839340,1720839366.507,0.61,0.2472,0.62,0.2392
model-1720839340,1720839366.57,0.6,0.2414,0.62,0.2197
model-1720839340,1720839366.632,0.69,0.2174,0.5,0.221
model-1720839340,1720839366.705,0.59,0.2535,0.78,0.1733
model-1720839340,1720839366.774,0.66,0.2239,0.62,0.2064
model-1720839340,1720839366.838,0.63,0.2153,0.66,0.2187
model-1720839340,1720839366.911,0.65,0.2216,0.62,0.2246
model-1720839340,1720839366.981,0.62,0.2209,0.66,0.2194
model-1720839340,1720839367.089,0.68,0.2077,0.69,0.2358
model-1720839340,1720839367.247,0.67,0.2068,0.47,0.2504
model-1720839340,1720839367.336,0.57,0.2407,0.72,0.1987
model-1720839340,1720839367.409,0.65,0.2202,0.69,0.2075
model-1720839340,1720839367.495,0.7,0.2235,0.72,0.2051
model-1720839340,1720839367.559,0.6,0.2283,0.62,0.2257
model-1720839340,1720839367.633,0.62,0.2177,0.53,0.2234
model-1720839340,1720839367.697,0.68,0.2093,0.66,0.2303
model-1720839340,1720839367.769,0.64,0.218,0.53,0.2438
model-1720839340,1720839367.83,0.69,0.2039,0.81,0.1864
model-1720839340,1720839367.889,0.65,0.2146,0.69,0.2131
model-1720839340,1720839367.945,0.75,0.1902,0.53,0.2592
model-1720839340,1720839368.003,0.73,0.1966,0.59,0.2324
model-1720839340,1720839368.074,0.71,0.1985,0.69,0.1908
model-1720839340,1720839368.136,0.68,0.2257,0.69,0.2183
model-1720839340,1720839368.206,0.59,0.236,0.62,0.2486
model-1720839340,1720839368.274,0.67,0.2067,0.56,0.244
model-1720839340,1720839368.34,0.67,0.2173,0.69,0.2337
model-1720839340,1720839368.406,0.75,0.1851,0.66,0.2586
model-1720839340,1720839368.472,0.73,0.2029,0.66,0.2103
model-1720839340,1720839368.533,0.63,0.2392,0.66,0.2017
