model,time,acc,loss,val_acc,val_loss
model-1720839340,1720839411.763,0.73,0.1969,0.75,0.1832
model-1720839340,1720839411.833,0.74,0.1748,0.69,0.1819
model-1720839340,1720839411.904,0.74,0.1764,0.81,0.1623
model-1720839340,1720839411.971,0.73,0.1868,0.84,0.1601
model-1720839340,1720839412.035,0.77,0.1676,0.56,0.2546
model-1720839340,1720839412.102,0.73,0.1772,0.75,0.178
model-1720839340,1720839412.197,0.74,0.1902,0.62,0.2124
model-1720839340,1720839412.277,0.71,0.1904,0.66,0.2177
model-1720839340,1720839412.347,0.73,0.1812,0.53,0.2335
model-1720839340,1720839412.426,0.67,0.1963,0.75,0.1719
model-1720839340,1720839412.526,0.66,0.2077,0.69,0.22
model-1720839340,1720839412.602,0.64,0.2109,0.75,0.1738
model-1720839340,1720839412.706,0.63,0.213,0.75,0.1917
model-1720839340,1720839412.765,0.76,0.1465,0.75,0.1468
model-1720839340,1720839412.83,0.65,0.2189,0.78,0.1648
model-1720839340,1720839412.923,0.67,0.2077,0.66,0.2277
model-1720839340,1720839412.998,0.7,0.1921,0.78,0.157
model-1720839340,1720839413.054,0.75,0.1812,0.78,0.1545
model-1720839340,1720839413.116,0.68,0.1869,0.78,0.1863
model-1720839340,1720839413.178,0.75,0.1613,0.78,0.1853
model-1720839340,1720839413.232,0.69,0.2095,0.62,0.2031
model-1720839340,1720839413.299,0.68,0.2037,0.62,0.2044
model-1720839340,1720839413.399,0.7,0.1883,0.75,0.1941
model-1720839340,1720839413.459,0.79,0.175,0.72,0.1988
model-1720839340,1720839413.528,0.67,0.2176,0.81,0.1551
model-1720839340,1720839413.599,0.77,0.1813,0.59,0.2361
model-1720839340,1720839413.661,0.68,0.1966,0.72,0.2171
model-1720839340,1720839413.723,0.65,0.2086,0.59,0.2493
model-1720839340,1720839413.783,0.72,0.1982,0.66,0.2571
model-1720839340,1720839413.836,0.66,0.2,0.69,0.2176
model-1720839340,1720839413.899,0.79,0.1702,0.66,0.2042
model-1720839340,1720839413.963,0.68,0.2096,0.66,0.2211
model-1720839340,1720839414.02,0.7,0.1933,0.75,0.1693
model-1720839340,1720839414.074,0.7,0.1929,0.62,0.1985
model-1720839340,1720839414.135,0.64,0.2147,0.81,0.1618
model-1720839340,1720839414.195,0.72,0.1955,0.78,0.1578
model-1720839340,1720839414.26,0.74,0.1768,0.59,0.2251
model-1720839340,1720839414.321,0.7,0.2014,0.72,0.1944
model-1720839340,1720839414.389,0.75,0.1765,0.69,0.1861
model-1720839340,1720839414.478,0.76,0.1739,0.5,0.2752
model-1720839340,1720839414.54,0.73,0.1873,0.69,0.1884
model-1720839340,1720839414.622,0.69,0.2067,0.72,0.173
model-1720839340,1720839414.7,0.77,0.1728,0.56,0.1847
model-1720839340,1720839414.762,0.64,0.2311,0.62,0.1965
model-1720839340,1720839414.837,0.68,0.2,0.84,0.1435
model-1720839340,1720839414.894,0.74,0.1685,0.75,0.1719
model-1720839340,1720839414.974,0.7,0.1841,0.69,0.1966
model-1720839340,1720839415.061,0.67,0.2011,0.78,0.1631
model-1720839340,1720839415.135,0.6,0.2279,0.53,0.2439
model-1720839340,1720839415.2,0.66,0.2159,0.84,0.1511
model-1720839340,1720839415.261,0.77,0.1592,0.69,0.1854
model-1720839340,1720839415.329,0.74,0.1941,0.69,0.2192
model-1720839340,1720839415.387,0.73,0.1795,0.62,0.2082
model-1720839340,1720839415.444,0.73,0.1745,0.84,0.1459
model-1720839340,1720839415.511,0.65,0.2241,0.62,0.215
model-1720839340,1720839415.588,0.78,0.1775,0.75,0.1849
model-1720839340,1720839415.672,0.72,0.2091,0.59,0.2491
model-1720839340,1720839415.739,0.68,0.1835,0.59,0.2549
model-1720839340,1720839415.809,0.75,0.1678,0.72,0.2035
model-1720839340,1720839415.879,0.7,0.2033,0.75,0.2017
model-1720839340,1720839415.96,0.69,0.2052,0.66,0.2128
model-1720839340,1720839416.028,0.76,0.1757,0.66,0.1708
model-1720839340,1720839416.095,0.64,0.2138,0.53,0.2281
model-1720839340,1720839416.172,0.75,0.1765,0.75,0.1653
model-1720839340,1720839416.28,0.71,0.1912,0.69,0.2001
model-1720839340,1720839416.355,0.75,0.1665,0.66,0.2058
model-1720839340,1720839416.43,0.8,0.164,0.75,0.1576
model-1720839340,1720839416.522,0.76,0.1717,0.78,0.1768
model-1720839340,1720839416.611,0.74,0.1717,0.72,0.2061
model-1720839340,1720839416.676,0.76,0.1684,0.78,0.1641
model-1720839340,1720839416.748,0.68,0.203,0.62,0.217
model-1720839340,1720839416.812,0.79,0.1415,0.69,0.2135
model-1720839340,1720839416.881,0.71,0.1817,0.75,0.1892
model-1720839340,1720839416.957,0.78,0.1437,0.62,0.2227
model-1720839340,1720839417.022,0.78,0.1718,0.75,0.1286
model-1720839340,1720839417.136,0.72,0.189,0.69,0.1981
model-1720839340,1720839417.219,0.7,0.1927,0.72,0.1921
model-1720839340,1720839417.291,0.8,0.1552,0.75,0.17
model-1720839340,1720839417.347,0.71,0.1803,0.75,0.1954
model-1720839340,1720839417.403,0.74,0.185,0.75,0.1591
model-1720839340,1720839417.464,0.75,0.1866,0.66,0.2104
model-1720839340,1720839417.516,0.77,0.1551,0.66,0.2296
model-1720839340,1720839417.582,0.75,0.1873,0.72,0.1623
model-1720839340,1720839417.64,0.69,0.1959,0.69,0.2028
model-1720839340,1720839417.702,0.72,0.1929,0.78,0.157
model-1720839340,1720839417.765,0.71,0.1862,0.56,0.2365
model-1720839340,1720839417.83,0.72,0.1969,0.59,0.2214
model-1720839340,1720839417.894,0.77,0.1795,0.75,0.1721
model-1720839340,1720839417.967,0.78,0.1796,0.72,0.1877
model-1720839340,1720839418.029,0.76,0.1554,0.91,0.1291
model-1720839340,1720839418.102,0.7,0.193,0.69,0.1891
model-1720839340,1720839418.16,0.73,0.1812,0.62,0.1896
model-1720839340,1720839418.219,0.77,0.164,0.75,0.1947
model-1720839340,1720839418.282,0.8,0.1479,0.88,0.1292
model-1720839340,1720839418.35,0.71,0.2022,0.72,0.2091
model-1720839340,1720839418.418,0.8,0.1644,0.66,0.2119
model-1720839340,1720839418.493,0.74,0.1817,0.72,0.1513
model-1720839340,1720839418.568,0.65,0.2056,0.84,0.1245
model-1720839340,1720839418.631,0.8,0.156,0.88,0.1146
model-1720839340,1720839418.687,0.76,0.175,0.81,0.1648
model-1720839340,1720839418.748,0.73,0.1789,0.81,0.1601
model-1720839340,1720839418.818,0.75,0.1653,0.72,0.2183
model-1720839340,1720839418.887,0.8,0.1523,0.75,0.1389
model-1720839340,1720839418.959,0.76,0.1622,0.81,0.1306
model-1720839340,1720839419.026,0.74,0.1823,0.62,0.2026
model-1720839340,1720839419.11,0.76,0.1605,0.72,0.1758
model-1720839340,1720839419.18,0.72,0.2042,0.66,0.1998
model-1720839340,1720839419.256,0.72,0.1967,0.84,0.1278
model-1720839340,1720839419.355,0.76,0.1659,0.84,0.1327
model-1720839340,1720839419.429,0.82,0.1496,0.78,0.1488
model-1720839340,1720839419.489,0.71,0.1764,0.78,0.1573
model-1720839340,1720839419.543,0.7,0.1822,0.62,0.2273
model-1720839340,1720839419.602,0.76,0.1835,0.72,0.2057
model-1720839340,1720839419.696,0.78,0.175,0.75,0.1808
model-1720839340,1720839419.777,0.77,0.1646,0.75,0.1829
model-1720839340,1720839419.849,0.73,0.1883,0.72,0.1735
model-1720839340,1720839419.932,0.75,0.1699,0.59,0.2212
model-1720839340,1720839419.996,0.79,0.1568,0.69,0.1781
model-1720839340,1720839420.072,0.72,0.177,0.75,0.1668
model-1720839340,1720839420.138,0.77,0.1727,0.78,0.1572
model-1720839340,1720839420.201,0.75,0.1789,0.78,0.1145
model-1720839340,1720839420.254,0.69,0.1893,0.78,0.1462
model-1720839340,1720839420.313,0.77,0.1545,0.62,0.2032
model-1720839340,1720839420.374,0.72,0.173,0.69,0.2144
model-1720839340,1720839420.446,0.73,0.198,0.75,0.1824
model-1720839340,1720839420.519,0.76,0.1609,0.75,0.173
model-1720839340,1720839420.607,0.76,0.1548,0.78,0.1499
model-1720839340,1720839420.68,0.68,0.1978,0.66,0.2218
model-1720839340,1720839420.745,0.74,0.1687,0.69,0.2027
model-1720839340,1720839420.813,0.75,0.1537,0.72,0.1798
model-1720839340,1720839420.893,0.71,0.1911,0.66,0.188
model-1720839340,1720839420.97,0.73,0.1715,0.69,0.1939
model-1720839340,1720839421.04,0.66,0.2135,0.75,0.2058
model-1720839340,1720839421.109,0.76,0.163,0.88,0.1188
model-1720839340,1720839421.176,0.79,0.1633,0.66,0.1923
model-1720839340,1720839421.258,0.66,0.202,0.66,0.2147
model-1720839340,1720839421.332,0.76,0.185,0.56,0.2212
model-1720839340,1720839421.401,0.75,0.1879,0.69,0.1768
model-1720839340,1720839421.475,0.73,0.1764,0.72,0.2012
model-1720839340,1720839421.54,0.71,0.1909,0.72,0.1436
model-1720839340,1720839421.616,0.78,0.176,0.62,0.2105
model-1720839340,1720839421.698,0.75,0.171,0.72,0.2017
model-1720839340,1720839421.758,0.65,0.2326,0.69,0.2016
model-1720839340,1720839421.822,0.74,0.1786,0.69,0.1875
model-1720839340,1720839421.88,0.8,0.1511,0.59,0.2314
model-1720839340,1720839421.956,0.76,0.1681,0.75,0.1831
model-1720839340,1720839422.016,0.71,0.1793,0.69,0.202
model-1720839340,1720839422.081,0.73,0.1908,0.69,0.2135
model-1720839340,1720839422.223,0.68,0.1995,0.66,0.241
model-1720839340,1720839422.297,0.65,0.2192,0.62,0.1995
model-1720839340,1720839422.393,0.74,0.176,0.81,0.1435
model-1720839340,1720839422.455,0.73,0.1755,0.72,0.1813
model-1720839340,1720839422.515,0.65,0.1926,0.69,0.2485
model-1720839340,1720839422.578,0.73,0.1919,0.75,0.199
model-1720839340,1720839422.643,0.6,0.2459,0.62,0.2307
model-1720839340,1720839422.709,0.67,0.2165,0.69,0.2197
model-1720839340,1720839422.773,0.74,0.1691,0.62,0.2045
model-1720839340,1720839422.839,0.73,0.1757,0.62,0.2103
model-1720839340,1720839422.905,0.77,0.1626,0.66,0.1997
model-1720839340,1720839422.989,0.67,0.2155,0.66,0.1888
model-1720839340,1720839423.056,0.71,0.1759,0.72,0.204
model-1720839340,1720839423.127,0.71,0.1944,0.66,0.1834
model-1720839340,1720839423.191,0.72,0.1872,0.72,0.164
model-1720839340,1720839423.261,0.79,0.1598,0.84,0.1339
model-1720839340,1720839423.326,0.68,0.1807,0.66,0.206
model-1720839340,1720839423.398,0.65,0.2119,0.75,0.1769
model-1720839340,1720839423.469,0.7,0.1913,0.75,0.1841
model-1720839340,1720839423.535,0.69,0.1878,0.75,0.1822
model-1720839340,1720839423.602,0.74,0.175,0.72,0.1375
model-1720839340,1720839423.673,0.68,0.1986,0.59,0.198
model-1720839340,1720839423.759,0.7,0.2084,0.69,0.205
model-1720839340,1720839423.834,0.71,0.1852,0.62,0.2259
model-1720839340,1720839423.9,0.72,0.1812,0.72,0.2073
model-1720839340,1720839423.97,0.66,0.1923,0.72,0.1669
model-1720839340,1720839424.045,0.76,0.1704,0.75,0.161
model-1720839340,1720839424.106,0.73,0.1723,0.75,0.1988
model-1720839340,1720839424.177,0.73,0.1795,0.81,0.1486
model-1720839340,1720839424.24,0.72,0.1729,0.72,0.1927
model-1720839340,1720839424.3,0.66,0.203,0.75,0.1589
model-1720839340,1720839424.372,0.8,0.1538,0.69,0.1729
model-1720839340,1720839424.433,0.68,0.1822,0.84,0.1148
model-1720839340,1720839424.493,0.72,0.1996,0.75,0.1943
model-1720839340,1720839424.566,0.72,0.1954,0.62,0.2366
model-1720839340,1720839424.641,0.7,0.1832,0.84,0.1448
model-1720839340,1720839424.717,0.72,0.2014,0.72,0.1995
model-1720839340,1720839424.784,0.79,0.1572,0.62,0.2226
model-1720839340,1720839424.868,0.69,0.1899,0.66,0.2396
model-1720839340,1720839424.944,0.78,0.1652,0.72,0.1883
model-1720839340,1720839425.012,0.76,0.1834,0.78,0.1512
model-1720839340,1720839425.076,0.77,0.17,0.69,0.2355
model-1720839340,1720839425.14,0.72,0.1981,0.66,0.2258
model-1720839340,1720839425.208,0.78,0.1727,0.62,0.2396
model-1720839340,1720839425.274,0.6,0.2631,0.91,0.1209
model-1720839340,1720839425.362,0.8,0.1619,0.72,0.2004
model-1720839340,1720839425.428,0.68,0.21,0.78,0.1462
model-1720839340,1720839425.498,0.74,0.1565,0.78,0.1688
model-1720839340,1720839425.567,0.65,0.2266,0.78,0.1705
model-1720839340,1720839425.642,0.71,0.1847,0.56,0.2548
model-1720839340,1720839425.716,0.75,0.1868,0.72,0.177
model-1720839340,1720839425.787,0.78,0.1587,0.62,0.2045
model-1720839340,1720839425.862,0.73,0.1684,0.84,0.1374
model-1720839340,1720839425.934,0.73,0.1777,0.59,0.2271
model-1720839340,1720839426.007,0.74,0.1944,0.84,0.1543
model-1720839340,1720839426.073,0.65,0.2135,0.78,0.147
model-1720839340,1720839426.142,0.67,0.2009,0.75,0.1682
model-1720839340,1720839426.249,0.7,0.1872,0.59,0.2098
model-1720839340,1720839426.336,0.71,0.2016,0.53,0.2386
model-1720839340,1720839426.405,0.74,0.1793,0.59,0.2241
model-1720839340,1720839426.476,0.74,0.179,0.75,0.2147
model-1720839340,1720839426.537,0.71,0.2039,0.66,0.209
model-1720839340,1720839426.614,0.66,0.2021,0.62,0.2288
model-1720839340,1720839426.676,0.69,0.1924,0.78,0.1726
model-1720839340,1720839426.753,0.7,0.1969,0.72,0.1647
model-1720839340,1720839426.823,0.78,0.1638,0.69,0.1928
model-1720839340,1720839426.887,0.84,0.1454,0.59,0.2253
model-1720839340,1720839426.964,0.61,0.2364,0.47,0.2828
model-1720839340,1720839427.025,0.69,0.1992,0.75,0.1698
model-1720839340,1720839427.077,0.79,0.1542,0.66,0.1907
model-1720839340,1720839427.132,0.62,0.2298,0.62,0.2275
model-1720839340,1720839427.188,0.75,0.1788,0.75,0.1618
model-1720839340,1720839427.247,0.75,0.1718,0.88,0.1174
model-1720839340,1720839427.312,0.74,0.154,0.59,0.2275
model-1720839340,1720839427.391,0.69,0.2037,0.62,0.2052
model-1720839340,1720839427.47,0.71,0.1966,0.56,0.2353
model-1720839340,1720839427.556,0.78,0.1506,0.69,0.2206
model-1720839340,1720839427.619,0.76,0.1822,0.81,0.1974
model-1720839340,1720839427.688,0.75,0.1616,0.78,0.1344
model-1720839340,1720839427.752,0.76,0.1676,0.69,0.1925
model-1720839340,1720839427.815,0.72,0.1793,0.75,0.1566
model-1720839340,1720839427.92,0.78,0.1626,0.53,0.2357
model-1720839340,1720839428.019,0.72,0.1722,0.69,0.2293
model-1720839340,1720839428.113,0.76,0.1721,0.84,0.1374
model-1720839340,1720839428.199,0.72,0.18,0.66,0.2194
model-1720839340,1720839428.477,0.72,0.179,0.69,0.2072
model-1720839340,1720839428.83,0.73,0.1853,0.66,0.2253
model-1720839340,1720839429.135,0.69,0.1871,0.75,0.1741
model-1720839340,1720839429.332,0.71,0.1895,0.72,0.1441
model-1720839340,1720839429.437,0.72,0.2044,0.72,0.2016
model-1720839340,1720839429.604,0.8,0.1404,0.66,0.239
model-1720839340,1720839429.72,0.68,0.2024,0.59,0.2332
model-1720839340,1720839429.798,0.66,0.1996,0.66,0.2086
model-1720839340,1720839429.862,0.71,0.1785,0.72,0.2158
model-1720839340,1720839429.931,0.77,0.1637,0.81,0.1453
model-1720839340,1720839429.989,0.74,0.1728,0.81,0.143
model-1720839340,1720839430.055,0.79,0.1527,0.72,0.1769
model-1720839340,1720839430.121,0.73,0.1994,0.78,0.1379
model-1720839340,1720839430.183,0.71,0.1891,0.75,0.1632
model-1720839340,1720839430.242,0.75,0.1631,0.81,0.1326
model-1720839340,1720839430.302,0.77,0.1528,0.75,0.1567
model-1720839340,1720839430.403,0.69,0.2107,0.62,0.2249
model-1720839340,1720839430.469,0.78,0.1715,0.62,0.1878
model-1720839340,1720839430.535,0.68,0.1901,0.84,0.1326
model-1720839340,1720839430.606,0.65,0.2072,0.56,0.2538
model-1720839340,1720839430.675,0.78,0.1657,0.75,0.1735
model-1720839340,1720839430.751,0.71,0.1959,0.72,0.1947
model-1720839340,1720839430.819,0.8,0.1582,0.66,0.1618
model-1720839340,1720839430.891,0.67,0.2038,0.78,0.1623
model-1720839340,1720839430.985,0.69,0.1901,0.69,0.2306
model-1720839340,1720839431.049,0.71,0.1838,0.62,0.2655
model-1720839340,1720839431.111,0.7,0.1951,0.69,0.1798
model-1720839340,1720839431.179,0.75,0.1741,0.78,0.1777
model-1720839340,1720839431.242,0.8,0.1612,0.75,0.1875
model-1720839340,1720839431.305,0.73,0.1953,0.66,0.209
model-1720839340,1720839431.385,0.73,0.1714,0.72,0.1837
model-1720839340,1720839431.446,0.77,0.1608,0.75,0.1725
model-1720839340,1720839431.513,0.72,0.1758,0.69,0.1858
model-1720839340,1720839431.579,0.72,0.197,0.88,0.1493
model-1720839340,1720839431.65,0.76,0.1677,0.62,0.205
model-1720839340,1720839431.711,0.7,0.2205,0.62,0.2052
model-1720839340,1720839431.792,0.71,0.1823,0.75,0.1554
model-1720839340,1720839431.861,0.76,0.1563,0.84,0.1385
model-1720839340,1720839431.997,0.73,0.1745,0.72,0.2032
model-1720839340,1720839432.083,0.65,0.197,0.69,0.2017
model-1720839340,1720839432.161,0.69,0.2138,0.69,0.2249
model-1720839340,1720839432.234,0.68,0.2161,0.66,0.2006
model-1720839340,1720839432.297,0.79,0.1543,0.66,0.2199
model-1720839340,1720839432.358,0.78,0.182,0.75,0.1718
model-1720839340,1720839432.43,0.72,0.1721,0.75,0.1776
model-1720839340,1720839432.49,0.78,0.1679,0.75,0.177
model-1720839340,1720839432.552,0.64,0.2164,0.66,0.2285
model-1720839340,1720839432.614,0.77,0.1649,0.59,0.2193
model-1720839340,1720839432.687,0.72,0.1978,0.66,0.1871
model-1720839340,1720839432.749,0.75,0.1647,0.94,0.1076
model-1720839340,1720839432.807,0.75,0.1635,0.69,0.2069
model-1720839340,1720839432.861,0.7,0.1925,0.84,0.1446
model-1720839340,1720839432.919,0.69,0.1974,0.88,0.1029
model-1720839340,1720839432.977,0.76,0.1699,0.81,0.129
model-1720839340,1720839433.038,0.67,0.1835,0.66,0.1988
model-1720839340,1720839433.095,0.75,0.1694,0.72,0.1835
model-1720839340,1720839433.161,0.72,0.188,0.78,0.1491
model-1720839340,1720839433.235,0.81,0.1447,0.72,0.1819
model-1720839340,1720839433.304,0.78,0.1583,0.69,0.2053
model-1720839340,1720839433.365,0.75,0.1656,0.91,0.1168
model-1720839340,1720839433.422,0.78,0.164,0.75,0.1601
model-1720839340,1720839433.495,0.77,0.1615,0.75,0.1397
model-1720839340,1720839433.56,0.67,0.1985,0.78,0.1599
model-1720839340,1720839433.622,0.82,0.1234,0.75,0.1569
model-1720839340,1720839433.697,0.75,0.1625,0.81,0.1269
model-1720839340,1720839433.758,0.82,0.1265,0.75,0.1671
model-1720839340,1720839433.815,0.79,0.1699,0.59,0.2285
model-1720839340,1720839433.88,0.74,0.176,0.81,0.1787
model-1720839340,1720839433.946,0.74,0.1747,0.69,0.236
model-1720839340,1720839434.003,0.8,0.1348,0.72,0.1876
model-1720839340,1720839434.063,0.76,0.1679,0.69,0.1942
model-1720839340,1720839434.135,0.73,0.1831,0.66,0.2008
model-1720839340,1720839434.199,0.76,0.174,0.72,0.1987
model-1720839340,1720839434.268,0.79,0.1512,0.69,0.1917
model-1720839340,1720839434.347,0.76,0.173,0.75,0.1707
model-1720839340,1720839434.403,0.71,0.192,0.81,0.1637
model-1720839340,1720839434.463,0.71,0.1897,0.75,0.1759
model-1720839340,1720839434.532,0.76,0.1749,0.72,0.2052
model-1720839340,1720839434.597,0.78,0.1868,0.78,0.1516
model-1720839340,1720839434.66,0.74,0.1748,0.81,0.1458
model-1720839340,1720839434.737,0.8,0.16,0.78,0.156
model-1720839340,1720839434.806,0.75,0.1585,0.69,0.1768
model-1720839340,1720839434.903,0.72,0.1948,0.69,0.2464
model-1720839340,1720839434.976,0.7,0.1722,0.75,0.1623
model-1720839340,1720839435.057,0.75,0.1622,0.72,0.1647
model-1720839340,1720839435.121,0.81,0.1392,0.72,0.2085
model-1720839340,1720839435.188,0.74,0.1895,0.66,0.1943
model-1720839340,1720839435.256,0.82,0.1522,0.75,0.1651
model-1720839340,1720839435.331,0.74,0.1806,0.66,0.1963
model-1720839340,1720839435.4,0.68,0.1958,0.59,0.2199
model-1720839340,1720839435.465,0.79,0.1485,0.72,0.2073
model-1720839340,1720839435.538,0.76,0.1696,0.72,0.2038
model-1720839340,1720839435.626,0.71,0.1731,0.69,0.2039
model-1720839340,1720839435.696,0.76,0.1569,0.72,0.1887
model-1720839340,1720839435.771,0.84,0.1331,0.62,0.2529
model-1720839340,1720839435.835,0.79,0.1554,0.69,0.1674
model-1720839340,1720839435.893,0.74,0.1748,0.94,0.0903
model-1720839340,1720839435.981,0.74,0.1492,0.62,0.2375
model-1720839340,1720839436.048,0.75,0.181,0.69,0.189
model-1720839340,1720839436.136,0.76,0.184,0.69,0.2193
model-1720839340,1720839436.205,0.74,0.1563,0.75,0.1945
model-1720839340,1720839436.262,0.83,0.1334,0.72,0.1836
model-1720839340,1720839436.33,0.73,0.1709,0.81,0.1388
model-1720839340,1720839436.397,0.76,0.1715,0.66,0.2314
model-1720839340,1720839436.468,0.76,0.1732,0.72,0.1816
model-1720839340,1720839436.524,0.81,0.1546,0.75,0.1902
model-1720839340,1720839436.585,0.82,0.1402,0.69,0.2288
model-1720839340,1720839436.66,0.77,0.1753,0.75,0.1499
model-1720839340,1720839436.727,0.76,0.1621,0.69,0.2008
model-1720839340,1720839436.799,0.8,0.1524,0.69,0.1553
model-1720839340,1720839436.877,0.77,0.171,0.66,0.1677
model-1720839340,1720839436.963,0.79,0.1546,0.78,0.1683
model-1720839340,1720839437.021,0.76,0.1574,0.62,0.2445
model-1720839340,1720839437.071,0.7,0.187,0.59,0.2613
model-1720839340,1720839437.13,0.8,0.1406,0.66,0.2557
model-1720839340,1720839437.181,0.74,0.1728,0.69,0.1771
model-1720839340,1720839437.232,0.74,0.1919,0.56,0.2937
model-1720839340,1720839437.287,0.77,0.1517,0.72,0.1969
model-1720839340,1720839437.349,0.8,0.1457,0.75,0.1676
model-1720839340,1720839437.413,0.7,0.1929,0.75,0.197
model-1720839340,1720839437.492,0.76,0.1631,0.69,0.1838
model-1720839340,1720839437.553,0.81,0.1314,0.69,0.1912
model-1720839340,1720839437.617,0.7,0.1743,0.59,0.2558
model-1720839340,1720839437.683,0.78,0.1532,0.78,0.1567
model-1720839340,1720839437.745,0.7,0.1998,0.84,0.1191
model-1720839340,1720839437.802,0.76,0.1573,0.78,0.1738
model-1720839340,1720839437.87,0.82,0.1495,0.88,0.1273
model-1720839340,1720839437.935,0.69,0.1937,0.75,0.1779
model-1720839340,1720839438.021,0.74,0.1736,0.75,0.1735
model-1720839340,1720839438.088,0.76,0.1759,0.75,0.1779
model-1720839340,1720839438.146,0.77,0.1662,0.72,0.1534
model-1720839340,1720839438.212,0.72,0.1754,0.66,0.1952
model-1720839340,1720839438.27,0.78,0.1658,0.69,0.189
model-1720839340,1720839438.33,0.74,0.1589,0.69,0.218
model-1720839340,1720839438.4,0.72,0.2148,0.66,0.1995
model-1720839340,1720839438.467,0.77,0.156,0.78,0.1432
model-1720839340,1720839438.551,0.79,0.15,0.66,0.2593
model-1720839340,1720839438.62,0.81,0.157,0.59,0.2217
model-1720839340,1720839438.683,0.77,0.1655,0.69,0.1873
model-1720839340,1720839438.756,0.72,0.1828,0.69,0.2275
model-1720839340,1720839438.867,0.75,0.1735,0.78,0.1607
model-1720839340,1720839438.959,0.73,0.1842,0.78,0.1463
model-1720839340,1720839439.044,0.77,0.16,0.69,0.2095
model-1720839340,1720839439.118,0.72,0.1735,0.75,0.2177
model-1720839340,1720839439.178,0.71,0.1846,0.69,0.1913
model-1720839340,1720839439.246,0.76,0.1695,0.62,0.1956
model-1720839340,1720839439.311,0.69,0.2178,0.72,0.1879
model-1720839340,1720839439.37,0.71,0.1865,0.81,0.1742
model-1720839340,1720839439.424,0.76,0.1646,0.81,0.15
model-1720839340,1720839439.513,0.7,0.1699,0.75,0.1677
model-1720839340,1720839439.585,0.78,0.1515,0.59,0.2028
model-1720839340,1720839439.641,0.7,0.1917,0.75,0.1638
model-1720839340,1720839439.701,0.77,0.1583,0.66,0.1863
model-1720839340,1720839439.754,0.77,0.1522,0.72,0.1582
model-1720839340,1720839439.815,0.79,0.1679,0.69,0.1925
model-1720839340,1720839439.882,0.77,0.1554,0.72,0.2033
model-1720839340,1720839439.962,0.71,0.1711,0.78,0.1623
model-1720839340,1720839440.019,0.69,0.1838,0.78,0.168
model-1720839340,1720839440.091,0.75,0.1616,0.84,0.1413
model-1720839340,1720839440.165,0.74,0.1951,0.59,0.2197
model-1720839340,1720839440.236,0.76,0.1647,0.81,0.1555
model-1720839340,1720839440.307,0.71,0.183,0.75,0.1901
model-1720839340,1720839440.396,0.71,0.1777,0.78,0.1701
model-1720839340,1720839440.481,0.75,0.1758,0.72,0.1707
model-1720839340,1720839440.541,0.77,0.1651,0.84,0.1564
model-1720839340,1720839440.611,0.67,0.1875,0.88,0.1187
model-1720839340,1720839440.687,0.76,0.1685,0.75,0.1792
model-1720839340,1720839440.751,0.77,0.1521,0.88,0.1167
model-1720839340,1720839440.813,0.75,0.1661,0.78,0.1691
model-1720839340,1720839440.89,0.74,0.1668,0.78,0.1596
model-1720839340,1720839440.976,0.68,0.2071,0.72,0.1523
model-1720839340,1720839441.044,0.82,0.1392,0.66,0.2229
model-1720839340,1720839441.115,0.69,0.178,0.66,0.2077
model-1720839340,1720839441.181,0.74,0.1867,0.69,0.1757
model-1720839340,1720839441.246,0.73,0.1719,0.78,0.1618
model-1720839340,1720839441.315,0.71,0.1796,0.88,0.1174
model-1720839340,1720839441.385,0.74,0.188,0.72,0.1788
model-1720839340,1720839441.455,0.76,0.166,0.81,0.1216
model-1720839340,1720839441.523,0.72,0.1786,0.56,0.2605
model-1720839340,1720839441.597,0.77,0.1667,0.66,0.1944
model-1720839340,1720839441.708,0.77,0.1581,0.69,0.1895
model-1720839340,1720839441.793,0.74,0.1619,0.66,0.1892
model-1720839340,1720839441.862,0.71,0.1943,0.69,0.2082
model-1720839340,1720839441.925,0.73,0.1723,0.53,0.2593
model-1720839340,1720839441.994,0.71,0.197,0.81,0.1586
model-1720839340,1720839442.063,0.81,0.139,0.66,0.2227
model-1720839340,1720839442.133,0.67,0.2066,0.66,0.207
model-1720839340,1720839442.197,0.8,0.1435,0.78,0.1238
model-1720839340,1720839442.259,0.69,0.1889,0.78,0.1418
model-1720839340,1720839442.323,0.8,0.147,0.62,0.229
model-1720839340,1720839442.385,0.74,0.1854,0.72,0.2025
model-1720839340,1720839442.449,0.82,0.1478,0.62,0.2099
model-1720839340,1720839442.516,0.74,0.1591,0.72,0.1947
model-1720839340,1720839442.578,0.72,0.1682,0.75,0.185
model-1720839340,1720839442.656,0.75,0.177,0.81,0.1565
model-1720839340,1720839442.726,0.7,0.1923,0.78,0.1343
model-1720839340,1720839442.788,0.68,0.1973,0.94,0.0839
model-1720839340,1720839442.855,0.76,0.1733,0.69,0.2063
model-1720839340,1720839442.948,0.73,0.1848,0.75,0.181
model-1720839340,1720839443.006,0.69,0.1758,0.66,0.2136
model-1720839340,1720839443.056,0.7,0.1719,0.72,0.1954
model-1720839340,1720839443.11,0.69,0.2041,0.81,0.1392
model-1720839340,1720839443.178,0.7,0.1837,0.81,0.1381
model-1720839340,1720839443.253,0.75,0.1574,0.66,0.2255
model-1720839340,1720839443.323,0.73,0.1822,0.72,0.1753
model-1720839340,1720839443.392,0.74,0.1709,0.66,0.2053
